Metropolitan Area,Rank,1-Quarter,1-Year,5-Years,Since 1991Q1,,,
"Memphis, TN-MS-AR",90,1.82,6.94,33.17,120.34,,,
"Redding, CA",91,3.07,6.94,32.07,158.47,,,
"Akron, OH",92,2.75,6.93,27.22,117.63,,,
"Sacramento-Roseville-Folsom, CA",93,2.73,6.92,37.42,166.72,,,
"Winston-Salem, NC",94,2.58,6.92,28.4,118.04,,,
"Barnstable Town, MA",95,2.73,6.86,28.2,230.74,,,
"Reno, NV",96,2.61,6.81,48.07,229.64,,,
"Seattle-Bellevue-Kent, WA (MSAD)",97,2.16,6.81,48.46,324.48,,,
"Cincinnati, OH-KY-IN",98,1.97,6.79,31.23,131.06,,,
"New Haven-Milford, CT",99,2.8,6.78,15.33,80.58,,,
"Worcester, MA-CT",100,2.45,6.76,29.7,147.92,,,
"Canton-Massillon, OH",101,2.63,6.73,28.14,125.42,,,
"Atlantic City-Hammonton, NJ",102,1.8,6.73,20.39,116.66,,,
"Youngstown-Warren-Boardman, OH-PA",103,2.74,6.7,24.33,109.98,,,
"Detroit-Dearborn-Livonia, MI (MSAD)",104,2.12,6.7,35.46,132.55,,,
"Fayetteville-Springdale-Rogers, AR",105,2.52,6.65,33.82,177.14,,,
"Norwich-New London, CT",106,2.6,6.65,18.84,83.68,,,
"Fresno, CA",107,2.59,6.63,34.43,165.73,,,
"Janesville-Beloit, WI",108,2.51,6.61,38.83,180.54,,,
"Racine, WI",109,1.9,6.58,33.91,156.13,,,
"Atlanta-Sandy Springs-Alpharetta, GA",110,1.95,6.57,40.75,164.55,,,
"Louisville/Jefferson County, KY-IN",111,2.46,6.56,29.08,178.89,,,
"Gary, IN (MSAD)",112,2.23,6.56,27.09,138.5,,,
"Birmingham-Hoover, AL",113,1.61,6.53,28.98,163.92,,,
"Stockton, CA",114,3.01,6.52,39.23,155.83,,,
"Visalia, CA",115,1.79,6.48,33.09,141.88,,,
"Rochester, MN",116,1.7,6.45,32.58,175.69,,,
"Lafayette-West Lafayette, IN",117,2.81,6.4,29.86,123.18,,,
"Jackson, MI",118,1.28,6.36,31.83,154.47,,,
"Orlando-Kissimmee-Sanford, FL",119,1.83,6.36,44.8,198.33,,,
"Wilmington, NC",120,2.28,6.36,35.52,221.57,,,
"Toledo, OH",121,2.21,6.35,27.45,104.67,,,
"West Palm Beach-Boca Raton-Boynton Beach, FL (MSAD)",122,2.79,6.33,41.15,243.26,,,
"Pittsburgh, PA",123,1.67,6.33,26.47,167.39,,,
"Miami-Miami Beach-Kendall, FL (MSAD)",124,1.83,6.32,38.91,334.89,,,
"Fort Lauderdale-Pompano Beach-Sunrise, FL (MSAD)",125,2.62,6.32,37.93,260.66,,,
"Hagerstown-Martinsburg, MD-WV",126,2.69,6.29,22.86,124.75,,,
"Portland-Vancouver-Hillsboro, OR-WA",127,2.22,6.27,37.96,381.42,,,
"Greensboro-High Point, NC",128,1.99,6.14,27.91,106.32,,,
"Billings, MT",129,1.92,6.12,18.81,268.4,,,
"Charleston-North Charleston, SC",130,1.32,6.11,36.39,284.93,,,
"Springfield, MO",131,2.04,6.11,30.49,141.87,,,
"St. Cloud, MN",132,1.87,6.11,28.38,187.96,,,
"Evansville, IN-KY",133,2.36,6.1,22.82,142.14,,,
"Richmond, VA",134,2.05,6.1,28.56,172.25,,,
"Wilmington, DE-MD-NJ (MSAD)",135,1.89,6.07,20.42,118.08,,,
"Jacksonville, FL",136,2.34,6.06,43.85,224.14,,,
"Appleton, WI",137,2.41,6.05,31.55,149.73,,,
"Lansing-East Lansing, MI",138,2.08,6.03,35.39,121.89,,,
"Sioux Falls, SD",139,2.09,6.03,29.7,212.39,,,
"Bridgeport-Stamford-Norwalk, CT",140,2.72,6.01,12.15,114.74,,,
"San Diego-Chula Vista-Carlsbad, CA",141,1.97,6.01,30.38,235.91,,,
